enrollmentnumber,name,email,phone,division,roll_no
ENR1001,Mekhala Cheema,sagarxavier@example.net,06693866725,A,1
ENR1002,Victor Pal,warriorom@example.net,+911421799298,C,2
ENR1003,Warjas Bedi,gsrivastava@example.net,00573836999,A,3
ENR1004,Vedika Sekhon,champakkata@example.com,+917439032101,A,4
ENR1005,Luke Suri,ijaya96@example.org,+914118678435,B,5
ENR1006,Kamya Choudhry,fshan@example.com,0841554445,D,6
ENR1007,Vanya Tailor,arinkalla@example.org,9830051766,B,7
ENR1008,Nikita Arya,bedijagvi@example.net,0358876414,D,8
ENR1009,Jeevika Sekhon,bhaktadakshesh@example.org,+913195903252,C,9
ENR1010,Anamika Oak,vbali@example.com,07713371622,A,10
ENR1011,Ikbal Seshadri,ikshitanath@example.org,+919298634950,D,11
ENR1012,Januja Bawa,faraswalia@example.com,3513415031,B,12
ENR1013,Hemal Badami,parthkhurana@example.net,+917331005009,B,13
ENR1014,Krish Murty,fmukhopadhyay@example.com,02618372988,D,14
ENR1015,Anthony Minhas,amaira59@example.net,8067673121,A,15
ENR1016,Madhav Golla,bakhshiandra@example.net,+911771447167,A,16
ENR1017,Nilima Bobal,jnaik@example.org,3335959640,C,17
ENR1018,Rachit Jain,darpanhegde@example.net,01710973009,C,18
ENR1019,Mohammed Sem,knaidu@example.com,00358078147,A,19
ENR1020,Jack Trivedi,harrison35@example.com,03315431565,B,20
ENR1021,Triveni Dewan,modikashish@example.org,+918210409055,A,21
ENR1022,Harini Nori,aringoyal@example.net,01612169936,B,22
ENR1023,Ria Merchant,praneelagarwal@example.com,8973985756,A,23
ENR1024,Ekaja Memon,hagrawal@example.com,+912065108317,A,24
ENR1025,Pranit Dhar,mishravarenya@example.org,06759168962,B,25
ENR1026,Zansi Bhatti,psoman@example.org,+912877353352,A,26
ENR1027,Xalak Mohan,joshizaitra@example.org,+911438668684,D,27
ENR1028,Wridesh Kar,rgokhale@example.net,02821865909,B,28
ENR1029,Amruta Basak,divanjagat@example.net,3167373632,C,29
ENR1030,Theodore Nazareth,oscar24@example.net,4929152232,A,30
ENR1031,Ayushman Pal,rdara@example.com,4473836720,B,31
ENR1032,Nicholas Wadhwa,yahvidada@example.org,+914609358011,C,32
ENR1033,Pallavi Bassi,bahadurjit52@example.org,01910179066,D,33
ENR1034,Megha Wason,sankarreyansh@example.com,+915575689961,C,34
ENR1035,Warinder Ahluwalia,eprasad@example.net,00333018516,C,35
ENR1036,Ekanta Majumdar,dassyagnesh@example.org,+916371637039,C,36
ENR1037,Onveer Manda,merchantmadhav@example.org,6222982773,C,37
ENR1038,Yashica Parmar,nairronith@example.com,+911331965548,C,38
ENR1039,Kamya Tella,gsubramaniam@example.com,1757797320,D,39
ENR1040,Qadim Barad,lkoshy@example.org,+914158723474,D,40
ENR1041,Arjun Nayar,vedantanne@example.net,+918156534024,C,41
ENR1042,Bhavya Sastry,victorsavant@example.org,+911152141590,C,42
ENR1043,Ojas Kumar,vanyagupta@example.net,03533393006,A,43
ENR1044,Baljiwan Bhasin,devikadhar@example.net,05706916142,C,44
ENR1045,Omya Chadha,balvan05@example.com,+919206112664,A,45
ENR1046,Ayush Goda,farassalvi@example.com,+916678068570,A,46
ENR1047,Onkar Sehgal,kalavarenya@example.com,05747601884,C,47
ENR1048,Onkar Suresh,devanazaan@example.net,00813405484,B,48
ENR1049,Veda Chatterjee,santnidra@example.net,05117716051,D,49
ENR1050,Qushi Setty,amangal@example.org,03584734826,B,50
