enrollmentnumber,name,email,phone,division,roll_no
ENR1001,Russell Fox,coreywilson@example.com,495-700-0784,B,1
ENR1002,James Camacho,natashacook@example.com,745.323.7294x23965,D,2
ENR1003,Raymond Gibson DVM,elizabethprice@example.net,+1-513-702-1560x720,D,3
ENR1004,Jennifer Lindsey,garrettadam@example.com,(783)986-5203x504,C,4
ENR1005,Dave Kelley,melindagonzalez@example.com,+1-769-664-5056x06434,A,5
ENR1006,John Lopez,mperkins@example.com,(223)910-3531,C,6
ENR1007,Robert Moore,zgreen@example.org,838-362-1934x8723,D,7
ENR1008,Robert Williams,huntlauren@example.com,968.740.3883,D,8
ENR1009,Michelle Brown,jamesmatthews@example.net,2352874966,A,9
ENR1010,Alexander Coleman,littlecaroline@example.org,751-673-8788,B,10
ENR1011,Samantha Stewart,deanlisa@example.org,(502)269-1947,C,11
ENR1012,Karen Tate,guerramichelle@example.org,345.422.0366x202,D,12
ENR1013,Barbara Smith,shannonflowers@example.net,(711)357-5014x1630,C,13
ENR1014,Robert Grant,kimjacob@example.net,(625)426-4333,A,14
ENR1015,Adam Coleman,gregory34@example.com,+1-585-792-6978x159,D,15
ENR1016,Jerry Coleman,staceyhall@example.com,(653)223-8370x9200,D,16
ENR1017,Daniel Fuller,ablankenship@example.com,431.320.7530,D,17
ENR1018,Mary Thompson,todddavid@example.org,276.814.6205x99937,B,18
ENR1019,Kathleen Rogers,kreynolds@example.com,(563)449-0408,B,19
ENR1020,Justin Marquez,jbrown@example.com,465-596-7858x35688,B,20
ENR1021,Bethany Garcia,russojoy@example.net,240.745.7784x55962,D,21
ENR1022,John Olson,qcordova@example.org,001-373-464-0410x40828,B,22
ENR1023,Suzanne Thompson,jennifer70@example.org,718-455-5667x6360,B,23
ENR1024,Denise Mejia,rachaelferguson@example.com,5212915287,A,24
ENR1025,Michele Joseph,lvega@example.com,437-619-5333x743,D,25
ENR1026,April Stewart,jason59@example.net,388-302-7059x2173,B,26
ENR1027,Victoria Gonzales,robert04@example.com,531-429-9559x598,C,27
ENR1028,Andrew Smith,fosterclarence@example.net,3249234910,C,28
ENR1029,Jane Mathis,blarson@example.net,701.283.5729,A,29
ENR1030,Joseph Young,benjamindaniels@example.com,679.435.8029x4138,C,30
ENR1031,Cynthia Owens,jenniferwilkinson@example.net,(927)371-7511x5541,B,31
ENR1032,Mrs. Tiffany Lawson,hwilcox@example.com,768.534.6256x90643,D,32
ENR1033,Angela Garrett,roseandrew@example.com,+1-723-772-4384,D,33
ENR1034,Emily Francis,lisa72@example.com,582.594.8931x3500,C,34
ENR1035,Kelly Garcia,riggsjaime@example.org,8737345800,A,35
ENR1036,Laurie Ferrell,xlove@example.org,911-276-0403,C,36
ENR1037,Heidi Villanueva,carolinemckenzie@example.net,001-467-708-2934,B,37
ENR1038,Patricia Olsen,ismith@example.com,236-533-7488x93254,C,38
ENR1039,Nicholas Davis,zvaldez@example.net,3876459395,A,39
ENR1040,Nathaniel Ramirez,tylerlawson@example.net,(503)214-8870x371,B,40
ENR1041,Zachary Torres,cynthia42@example.net,604.760.4968,A,41
ENR1042,Steven Moore,parkerkristin@example.com,984.900.5143x5381,C,42
ENR1043,Robert Stanley,shanebarr@example.net,+1-249-925-4376,C,43
ENR1044,Karen King,gmitchell@example.com,530-256-8043x7895,D,44
ENR1045,Terry Jackson,sherryramirez@example.net,670.727.1068x21332,A,45
ENR1046,Sarah Alvarez,yhall@example.net,(214)566-5667,C,46
ENR1047,Mackenzie Cabrera,egriffith@example.com,750-684-4412,A,47
ENR1048,Travis Zavala,gramos@example.org,001-427-886-7658x678,A,48
ENR1049,Michael Ortega,michaelpark@example.net,4205859199,A,49
ENR1050,Amanda Thornton,rgarcia@example.com,366.510.0096,B,50
